run_set,condition,n_agents,model,rounds_cap,history_limit,runs,total_messages_mean,total_messages_std,unique_pairs_mean,unique_pairs_std,success_count_mean,success_count_std,success_rate_mean,success_rate_std,rounds_run_mean,rounds_run_std,exchange_inbox_messages_mean,exchange_inbox_messages_std,exchange_outbox_messages_mean,exchange_outbox_messages_std,exchange_price_update_count_mean,exchange_price_update_count_std,exchange_price_abs_change_mean,exchange_price_abs_change_std,credit_proposals_mean,credit_proposals_std,credit_accepts_mean,credit_accepts_std,send_messages_mean,send_messages_std,invalid_actions_mean,invalid_actions_std
runs_core,barter,3,gpt-5-mini,8,10,2,11.0,4.242640687119285,2.5,0.7071067811865476,2.0,1.4142135623730951,0.6666666666666666,0.4714045207910317,6.5,2.1213203435596424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_core,barter,5,gpt-5-mini,8,10,2,13.5,2.1213203435596424,5.0,0.0,4.0,1.4142135623730951,0.8,0.282842712474619,6.5,2.1213203435596424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.1213203435596424
runs_core,barter,8,gpt-5-mini,8,10,2,32.0,4.242640687119285,9.5,2.1213203435596424,5.0,1.4142135623730951,0.625,0.1767766952966369,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
runs_core,barter,10,gpt-5-mini,8,10,2,37.5,13.435028842544403,14.0,1.4142135623730951,6.5,2.1213203435596424,0.65,0.21213203435596428,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476
runs_core,barter,12,gpt-5-mini,8,10,2,61.0,2.8284271247461903,20.5,3.5355339059327378,5.0,0.0,0.4166666666666667,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4142135623730951
runs_core,money_exchange,3,gpt-5-mini,8,10,2,18.0,2.8284271247461903,3.0,0.0,3.0,0.0,1.0,0.0,3.5,0.7071067811865476,9.0,1.4142135623730951,9.0,1.4142135623730951,0.5,0.7071067811865476,0.025000000000000022,0.03535533905932741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_core,money_exchange,5,gpt-5-mini,8,10,2,29.0,4.242640687119285,5.0,0.0,5.0,0.0,1.0,0.0,3.5,0.7071067811865476,14.5,2.1213203435596424,14.5,2.1213203435596424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_core,money_exchange,8,gpt-5-mini,8,10,2,47.0,1.4142135623730951,8.0,0.0,8.0,0.0,1.0,0.0,3.5,0.7071067811865476,23.5,0.7071067811865476,23.5,0.7071067811865476,1.0,1.4142135623730951,0.010000000000000009,0.014142135623730963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_core,money_exchange,10,gpt-5-mini,8,10,2,61.0,1.4142135623730951,10.0,0.0,10.0,0.0,1.0,0.0,4.0,0.0,30.5,0.7071067811865476,30.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_core,money_exchange,12,gpt-5-mini,8,10,2,73.0,1.4142135623730951,12.0,0.0,12.0,0.0,1.0,0.0,4.0,0.0,36.5,0.7071067811865476,36.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
